year,month,day,time,generation biomass,generation other renewable,generation solar,generation wind onshore
2015,01,01,00,1.1654896183286707,0.8522945433618984,0.03419176364193348,1.1668329548570546
2015,01,01,01,1.1707043369789107,0.8289440079273258,0.034889554736666814,1.0775550492486754
2015,01,01,02,1.1680969776537906,0.8522945433618984,0.034889554736666814,0.9990709887855715
2015,01,01,03,1.14202338440259,0.8756450787964709,0.034889554736666814,0.9582739130669885
2015,01,01,04,1.1159497911513894,0.8639698110791846,0.02930722597880012,0.9028411151175235
2015,01,01,05,1.0690173232992282,0.8639698110791846,0.023724897220933433,0.8448470657776542
2015,01,01,06,1.0455510893731474,0.8639698110791846,0.023724897220933433,0.8044158831148431
2015,01,01,07,1.063802604648988,0.840619275644612,0.02442268831566677,0.7303225393210038
2015,01,01,08,1.0768394012745883,0.8522945433618984,0.037680719115600156,0.6639129496983774
2015,01,01,09,1.0924835572253087,0.8639698110791846,0.5184587833868688,0.5621946801937486
2015,01,01,10,1.1003056352006688,0.840619275644612,1.408840220266606,0.4908455343181997
2015,01,01,11,1.097698275875549,0.8522945433618984,2.2308381298624758,0.5069448287721697
2015,01,01,12,1.1159497911513894,0.8756450787964709,2.7109184030390114,0.5316426100367828
2015,01,01,13,1.1081277131760292,0.8639698110791846,2.796048916596478,0.5347527010108453
2015,01,01,14,1.102912994525789,0.8873203465137571,2.772324019375545,0.5387775246243377
2015,01,01,15,1.097698275875549,0.8873203465137571,2.6641663996918776,0.4956021440432363
2015,01,01,16,1.1003056352006688,0.8756450787964709,2.154778900536542,0.4668795391651307
2015,01,01,17,1.1107350725011491,0.8756450787964709,1.0236595359738043,0.4937726787643761
2015,01,01,18,1.1133424318262692,0.8639698110791846,0.28190760227226785,0.5056642030769676
2015,01,01,19,1.1524528217030703,0.8873203465137571,0.09699296216793374,0.532923235731985
2015,01,01,20,1.1602748996784304,0.8639698110791846,0.06977910947333363,0.5704272739486197
2015,01,01,21,1.1550601810281904,0.8639698110791846,0.052334332105000214,0.6170786385595556
2015,01,01,22,1.14723810305283,0.8639698110791846,0.05163654101026688,0.6417764198241687
2015,01,01,23,1.14202338440259,0.8639698110791846,0.03907630130506683,0.6452524038540031
2015,01,02,00,0.9595082316441852,0.7238665984717493,0.037680719115600156,2.420748456987856
2015,01,02,01,0.9595082316441852,0.712191330754463,0.037680719115600156,2.3343976958256536
2015,01,02,02,0.9334346383929846,0.7005160630371767,0.037680719115600156,2.227191030484444
2015,01,02,03,0.9203978417673842,0.6888407953198904,0.03698292802086682,2.077906663729449
2015,01,02,04,0.9230052010925043,0.712191330754463,0.03698292802086682,2.0488181657955717
2015,01,02,05,0.9230052010925043,0.6888407953198904,0.04396083896820018,2.0402196789849283
2015,01,02,06,0.9308272790678644,0.7005160630371767,0.03837851021033349,2.0433297699589907
2015,01,02,07,0.9308272790678644,0.7005160630371767,0.037680719115600156,2.0499158449628876
2015,01,02,08,0.9360419977181046,0.6888407953198904,0.08094376698906701,1.9977760845153711
2015,01,02,09,0.9308272790678644,0.6888407953198904,0.7250049474279363,1.9192920240522673
2015,01,02,10,0.9829744655702658,0.7005160630371767,1.655858267802207,1.8580049372104497
2015,01,02,11,0.9803671062451458,0.6888407953198904,2.581129259418611,1.9064857671002458
2015,01,02,12,0.9803671062451458,0.7005160630371767,2.898624207522279,2.0544895081600383
2015,01,02,13,0.9725450282697855,0.712191330754463,2.842800919943612,2.1807226124013943
2015,01,02,14,0.9986186215209862,0.6771655276026042,2.687193505818078,2.162245013084906
2015,01,02,15,1.0194774961219468,0.6654902598853178,2.525305971839944,2.188223420044721
2015,01,02,16,1.0299069334224271,0.6888407953198904,2.1101202704736086,2.1999319978294265
2015,01,02,17,1.027299574097307,0.6888407953198904,1.4325651174875393,2.2094452172795
2015,01,02,18,1.0690173232992282,0.7472171339063218,0.5366013518499355,2.0629050484427953
2015,01,02,19,1.1342013064272298,0.7939182047754669,0.18561243119906742,1.9227680080821017
2015,01,02,20,1.1342013064272298,0.8055934724927533,0.11513553063100047,1.9037415691819553
2015,01,02,21,1.1394160250774699,0.8055934724927533,0.09559737997846707,1.9108764837695102
2015,01,02,22,1.1394160250774699,0.7705676693408944,0.09559737997846707,1.8250745621909654
2015,01,02,23,1.1550601810281904,0.7472171339063218,0.09559737997846707,1.7429315711701412
2015,01,03,00,1.2463177574073927,0.8873203465137571,0.043263047873466846,1.694816634336117
2015,01,03,01,1.2072073675305917,0.7939182047754669,0.043263047873466846,1.6712165322388202
2015,01,03,02,1.178526414954271,0.7705676693408944,0.04256525677873351,1.7127453940689472
2015,01,03,03,1.1837411336045112,0.7939182047754669,0.04256525677873351,1.7614091704866295
2015,01,03,04,1.1707043369789107,0.7822429370581807,0.04256525677873351,1.757567293401023
2015,01,03,05,1.181133774279391,0.7705676693408944,0.04256525677873351,1.7683611385462983
2015,01,03,06,1.1941705709049915,0.7939182047754669,0.04256525677873351,1.782448021193522
2015,01,03,07,1.178526414954271,0.7822429370581807,0.04396083896820018,1.7198803086565022
2015,01,03,08,1.14202338440259,0.7705676693408944,0.16258532507286735,1.5299818127108102
2015,01,03,09,1.1289865877769896,0.7939182047754669,0.5721886976813357,1.4496682869688462
2015,01,03,10,1.0924835572253087,0.7939182047754669,1.1618221727310047,1.3889300397106865
2015,01,03,11,1.1237718691267495,0.8289440079273258,1.7361042436965406,1.440520960574545
2015,01,03,12,1.1081277131760292,0.7472171339063218,2.245491742851876,1.4986979564423004
2015,01,03,13,1.1133424318262692,0.7472171339063218,2.5783380950396775,1.5949278301103484
